"ID","Label","Elevation (Ground) (m)","Elevation (Rim) (m)","Elevation (Invert) (m)","Flow (Total In) (L/s)","Flow (Total Out) (L/s)","Depth (Out) (m)","Depth (Flooding) (m)","Depth (Surcharged) (m)","Hydraulic Grade Line (Out) (m)","Hydraulic Grade Line (In) (m)","Is Overflowing?","Notes"
296,296,2.40,2.40,-0.45,83.16,82.97,1.05,0.00,0.50,0.60,0.60,False,
297,297,2.40,2.40,-0.45,72.38,72.19,1.05,0.00,0.50,0.60,0.60,False,
298,298,2.40,2.40,-0.45,88.51,88.32,1.05,0.00,0.50,0.60,0.60,False,
299,299,2.40,2.40,-0.45,121.73,121.55,1.05,0.00,0.50,0.60,0.60,False,
300,300,2.40,2.40,-0.45,144.26,144.09,1.05,0.00,0.50,0.60,0.60,False,
301,301,3.35,3.35,1.45,91.82,91.20,0.18,0.00,0.50,1.63,1.63,False,
302,302,3.35,3.35,1.01,178.77,177.62,0.26,0.00,0.50,1.27,1.27,False,
303,303,3.51,3.51,0.57,411.57,411.47,0.17,0.00,0.50,0.74,0.74,False,
304,304,2.58,2.58,0.68,171.44,170.38,0.25,0.00,0.50,0.93,0.93,False,
305,305,2.42,2.42,-0.08,563.15,581.12,0.26,0.00,0.50,0.18,0.18,False,
306,306,3.17,3.17,1.47,108.81,108.61,0.19,0.00,0.50,1.66,1.66,False,
307,307,2.99,2.99,0.91,725.08,692.43,0.31,0.00,0.50,1.22,1.22,False,
308,308,3.17,3.17,1.00,585.61,616.47,0.45,0.00,0.50,1.45,1.45,False,
309,309,3.05,3.05,1.35,345.60,344.70,0.40,0.00,0.50,1.75,1.75,False,
310,310,3.35,3.35,1.85,106.37,106.31,0.19,0.00,0.50,2.04,2.04,False,
311,311,3.50,3.50,2.00,69.09,68.94,0.12,0.00,0.50,2.12,2.12,False,
312,312,2.48,2.48,0.38,857.21,856.80,0.22,0.00,0.50,0.60,0.60,False,
313,313,2.46,2.46,0.96,182.96,182.24,0.42,0.00,0.50,1.38,1.38,False,
314,314,2.81,2.81,0.32,374.90,373.21,0.91,0.00,0.50,1.23,1.23,False,
315,315,2.47,2.47,-0.60,715.74,715.69,1.81,0.00,0.50,1.21,1.21,False,
316,316,2.40,2.40,-0.45,110.12,109.92,1.01,0.00,0.50,0.56,0.56,False,
317,317,2.40,2.40,-0.45,100.76,100.56,1.01,0.00,0.50,0.56,0.56,False,
318,318,2.40,2.40,-0.45,127.16,126.97,1.01,0.00,0.50,0.56,0.56,False,
319,319,2.40,2.40,-0.45,219.64,219.49,1.02,0.00,0.50,0.57,0.57,False,
320,320,2.40,2.40,-0.45,195.43,195.26,1.02,0.00,0.50,0.57,0.57,False,
321,321,2.40,2.40,-0.45,140.95,140.79,1.01,0.00,0.50,0.56,0.56,False,
322,322,2.40,2.40,-0.45,248.63,248.49,1.02,0.00,0.50,0.57,0.57,False,
323,323,2.40,2.40,-0.45,105.94,105.73,1.01,0.00,0.50,0.56,0.56,False,
324,324,3.36,3.36,1.86,106.55,106.50,0.17,0.00,0.50,2.03,2.03,False,
325,325,3.11,3.11,1.44,221.13,220.95,0.19,0.00,0.50,1.63,1.63,False,
326,326,2.48,2.48,0.77,399.19,399.19,0.11,0.00,0.50,0.88,0.88,False,
327,327,3.40,3.40,1.90,178.95,178.24,0.22,0.00,0.50,2.12,2.12,False,
328,328,3.34,3.34,1.84,114.70,114.63,0.18,0.00,0.50,2.02,2.02,False,
329,329,2.40,2.40,-0.45,100.57,100.36,1.01,0.00,0.50,0.56,0.56,False,
330,330,3.38,3.38,1.88,195.80,195.21,0.30,0.00,0.50,2.18,2.18,False,
331,331,3.11,3.11,1.51,195.21,194.98,0.12,0.00,0.50,1.63,1.63,False,
332,332,2.56,2.56,0.45,492.92,492.92,0.23,0.00,0.50,0.68,0.68,False,
333,333,2.50,2.50,0.00,364.02,0.00,0.62,0.00,0.50,0.62,0.62,False,
334,334,3.30,3.30,0.80,104.45,104.44,0.11,0.00,0.50,0.91,0.91,False,
